game_name,game_rank,game_year,genre,na_sales,eu_sales,jp_sales,other_sales,platform,publisher,title,rank,report_date
"Grand Theft Auto V",17,2013,Action,7.01,9.27,0.97,4.14,PS3,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",24,2013,Action,9.63,5.31,0.06,1.38,X360,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",45,2014,Action,3.8,5.81,0.36,2.02,PS4,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",198,2014,Action,2.66,2.01,0,0.41,XOne,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Grand Theft Auto V",1898,2015,Action,0.36,0.64,0,0.08,PC,"Take-Two Interactive","Grand Theft Auto V",5,2019-05-30
"Wii Sports",1,2006,Sports,41.49,29.02,3.77,8.46,Wii,Nintendo,NULL,NULL,NULL
"Super Mario Bros.",2,1985,Platform,29.08,3.58,6.81,0.77,NES,Nintendo,NULL,NULL,NULL
"Mario Kart Wii",3,2008,Racing,15.85,12.88,3.79,3.31,Wii,Nintendo,NULL,NULL,NULL
"Wii Sports Resort",4,2009,Sports,15.75,11.01,3.28,2.96,Wii,Nintendo,NULL,NULL,NULL
"Pokemon Red/Pokemon Blue",5,1996,Role-Playing,11.27,8.89,10.22,1,GB,Nintendo,NULL,NULL,NULL
Tetris,6,1989,Puzzle,23.2,2.26,4.22,0.58,GB,Nintendo,NULL,NULL,NULL
"New Super Mario Bros.",7,2006,Platform,11.38,9.23,6.5,2.9,DS,Nintendo,NULL,NULL,NULL
"Wii Play",8,2006,Misc,14.03,9.2,2.93,2.85,Wii,Nintendo,NULL,NULL,NULL
"New Super Mario Bros. Wii",9,2009,Platform,14.59,7.06,4.7,2.26,Wii,Nintendo,NULL,NULL,NULL
"Duck Hunt",10,1984,Shooter,26.93,0.63,0.28,0.47,NES,Nintendo,NULL,NULL,NULL
Nintendogs,11,2005,Simulation,9.07,11,1.93,2.75,DS,Nintendo,NULL,NULL,NULL
"Mario Kart DS",12,2005,Racing,9.81,7.57,4.13,1.92,DS,Nintendo,NULL,NULL,NULL
"Pokemon Gold/Pokemon Silver",13,1999,Role-Playing,9,6.18,7.2,0.71,GB,Nintendo,NULL,NULL,NULL
"Wii Fit",14,2007,Sports,8.94,8.03,3.6,2.15,Wii,Nintendo,NULL,NULL,NULL
"Wii Fit Plus",15,2009,Sports,9.09,8.59,2.53,1.79,Wii,Nintendo,NULL,NULL,NULL
"Kinect Adventures!",16,2010,Misc,14.97,4.94,0.24,1.67,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Grand Theft Auto: San Andreas",18,2004,Action,9.43,0.4,0.41,10.57,PS2,"Take-Two Interactive",NULL,NULL,NULL
"Super Mario World",19,1990,Platform,12.78,3.75,3.54,0.55,SNES,Nintendo,NULL,NULL,NULL
"Pokemon Diamond/Pokemon Pearl",21,2006,Role-Playing,6.42,4.52,6.04,1.37,DS,Nintendo,NULL,NULL,NULL
"Super Mario Land",22,1989,Platform,10.83,2.71,4.18,0.42,GB,Nintendo,NULL,NULL,NULL
"Super Mario Bros. 3",23,1988,Platform,9.54,3.44,3.84,0.46,NES,Nintendo,NULL,NULL,NULL
"Grand Theft Auto: Vice City",25,2002,Action,8.41,5.49,0.47,1.78,PS2,"Take-Two Interactive",NULL,NULL,NULL
"Pokemon Ruby/Pokemon Sapphire",26,2002,Role-Playing,6.06,3.9,5.38,0.5,GBA,Nintendo,NULL,NULL,NULL
"Pokemon Black/Pokemon White",27,2010,Role-Playing,5.57,3.28,5.65,0.82,DS,Nintendo,NULL,NULL,NULL
"Brain Age 2: More Training in Minutes a Day",28,2005,Puzzle,3.44,5.36,5.32,1.18,DS,Nintendo,NULL,NULL,NULL
"Gran Turismo 3: A-Spec",29,2001,Racing,6.85,5.09,1.87,1.16,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty: Modern Warfare 3",30,2011,Shooter,9.03,4.28,0.13,1.32,X360,Activision,NULL,NULL,NULL
,31,1998,Role-Playing,5.89,5.04,3.12,0.59,GB,Nintendo,NULL,NULL,NULL
"Call of Duty: Black Ops",32,2010,Shooter,9.67,3.73,0.11,1.13,X360,Activision,NULL,NULL,NULL
"Pokemon X/Pokemon Y",33,2013,Role-Playing,5.17,4.05,4.34,0.79,3DS,Nintendo,NULL,NULL,NULL
"Call of Duty: Black Ops 3",34,2015,Shooter,5.77,5.81,0.35,2.31,PS4,Activision,NULL,NULL,NULL
"Call of Duty: Black Ops II",35,2012,Shooter,4.99,5.88,0.65,2.52,PS3,Activision,NULL,NULL,NULL
"Call of Duty: Black Ops II",36,2012,Shooter,8.25,4.3,0.07,1.12,X360,Activision,NULL,NULL,NULL
"Call of Duty: Modern Warfare 2",37,2009,Shooter,8.52,3.63,0.08,1.29,X360,Activision,NULL,NULL,NULL
"Call of Duty: Modern Warfare 3",38,2011,Shooter,5.54,5.82,0.49,1.62,PS3,Activision,NULL,NULL,NULL
