column,type,include,sample_value,sample_num_uni,sample_uni_percentage,sample_min,sample_median,sample_max,sample_std
parcelid,numeric,1,"[13008151, 12445474, 12773517, 17142187, 11507494]",10886,1,10717217,12211634,163187347,3088964.67
airconditioningtypeid,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",4,0.00133,1,1,13,1.158609312
architecturalstyletypeid,numeric,1,"[7.0, 7.0]",1,0.5,7,7,7,0
basementsqft,numeric,1,"[516.0, 216.0, 224.0, 516.0, 732.0]",8,1,216,577.5,782,198.9786421
bathroomcnt,numeric,1,"[2.0, 2.0, 3.0, 2.0, 2.5]",20,0.00184,0,2,12,1.110438188
bedroomcnt,numeric,1,"[3.0, 3.0, 3.0, 3.0, 2.0]",13,0.00119,0,3,12,1.293039816
buildingclasstypeid,numeric,1,"[3.0, 4.0, 3.0, 4.0, 3.0]",4,0.06557,2,4,5,0.492349424
buildingqualitytypeid,numeric,1,"[7.0, 10.0, 7.0, 4.0, 7.0]",6,0.00067,1,7,12,1.726668402
calculatedbathnbr,numeric,1,"[6.0, 1.0, 2.0, 1.0, 1.0]",19,0.00181,1,2,12,1.046438708
decktypeid,numeric,1,"[66.0, 66.0, 66.0, 66.0, 66.0]",1,0.01351,66,66,66,0
finishedfloor1squarefeet,numeric,1,"[841.0, 1239.0, 668.0, 1746.0, 1023.0]",628,0.72267,79,1284,4969,534.9211558
calculatedfinishedsquarefeet,numeric,1,"[1630.0, 1730.0, 1190.0, 2291.0, 1672.0]",2893,0.26767,99,1526,73026,1280.16246
finishedsquarefeet12,numeric,1,"[1853.0, 1294.0, 2298.0, 2342.0, 1562.0]",2674,0.27275,99,1479,13875,863.8627011
finishedsquarefeet13,numeric,1,"[1440.0, 1296.0, 1100.0, 1440.0, 1464.0]",28,0.53846,520,1320,2400,323.4718282
finishedsquarefeet15,numeric,1,"[2291.0, 1280.0, 3243.0, 1226.0, 2298.0]",772,0.8364,632,2156,73026,3183.863846
finishedsquarefeet50,numeric,1,"[1273.0, 1062.0, 3628.0, 1066.0, 1374.0]",627,0.72152,79,1285,8210,597.399412
finishedsquarefeet6,numeric,1,"[2237.0, 1084.0, 935.0, 1939.0, 1833.0]",29,1,754,1939,15341,2599.626412
fips,numeric,1,"[6037, 6037, 6037, 6037, 6037]",3,0.00028,6037,6037,6111,21.25132804
fireplacecnt,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",4,0.00511,1,1,4,0.418695242
fullbathcnt,numeric,1,"[1.0, 1.0, 2.0, 1.0, 2.0]",12,0.00114,1,2,12,1.043675047
garagecarcnt,numeric,1,"[2.0, 2.0, 2.0, 2.0, 2.0]",7,0.00484,0,2,7,0.561581304
garagetotalsqft,numeric,1,"[441.0, 360.0, 260.0, 441.0, 508.0]",318,0.21977,0,440,2107,203.1587784
hashottuborspa,str,1,"[True, True, True, True, True]",1,0.008,,,,
heatingorsystemtypeid,numeric,1,"[2.0, 2.0, 2.0, 2.0, 2.0]",5,0.00062,2,2,20,2.460358811
latitude,numeric,1,"[33989166, 34252462, 34059784, 33844700, 34047114]",10614,0.97501,33340068,34061045,34786862,200572.8322
longitude,numeric,1,"[-118527175, -118374630, -118430456, -118168176, -118353878]",10322,0.94819,-119448392,-118262131.5,-117591889,311936.3774
lotsizesquarefeet,numeric,1,"[6100.0, 8891.0, 6219.0, 6390.0, 7218.0]",6492,0.6132,195,7000,6971010,109947.8225
poolcnt,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",1,0.00052,1,1,1,0
poolsizesum,numeric,1,"[450.0, 429.0, 450.0, 800.0, 782.0]",65,0.56034,64,493,903,152.6861301
pooltypeid10,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",1,0.00943,1,1,1,0
pooltypeid2,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",1,0.05263,1,1,1,0
pooltypeid7,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",1,0.00052,1,1,1,0
propertycountylandusecode,str,1,"['0100', '0101', '0100', '0100', '0101']",62,0.0057,,,,
propertylandusetypeid,numeric,1,"[261, 246, 261, 261, 248]",13,0.00119,31,261,275,18.16958189
propertyzoningdesc,str,1,"['LVSP814*', 'CORH*', 'GAR1', 'LCCPD-RPD1', 'LAR1']",1054,0.11513,,,,
